,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
20,Love Actually ,,"Comedy; 
Drama; 
Romance",14 November 2003,7.6,Richard Curtis,Bill Nighy;Gregor Fisher;Rory MacGregor;Colin Firth;Sienna Guillory;Liam Neeson;Emma Thompson;Lulu Popplewell;Kris Marshall;Heike Makatsch;Martin Freeman;Joanna Page;Chiwetel Ejiofor;Andrew Lincoln;Keira Knightley,40000000,135,246942017
21,Avengers: Endgame ,,"Action; 
Adventure; 
Fantasy",26 April 2019,,,Chris Hemsworth;Brie Larson;Karen Gillan;Bradley Cooper;Scarlett Johansson;Evangeline Lilly;Robert Downey Jr.;Tom Holland;Jon Favreau;Josh Brolin;Chris Evans;Elizabeth Olsen;Michelle Pfeiffer;Pom Klementieff;Paul Rudd,,,
22,Dumplin' ,PG-13,"Comedy; 
Drama; 
Musical",7 December 2018,6.9,Anne Fletcher,Danielle Macdonald;Jennifer Aniston;Odeya Rush;Maddie Baillio;Bex Taylor-Klaus;Luke Benward;Georgie Flores;Dove Cameron;Harold Perrineau;Kathy Najimy;Joshua Allan Eads;Hilliary Begley;Sam Pancake;Dan Finnerty;Molly McNearney,,110,
23,Bad Times at the El Royale ,,"Crime; 
Drama; 
Mystery",12 October 2018,7.3,Drew Goddard,Jeff Bridges;Cynthia Erivo;Dakota Johnson;Jon Hamm;Chris Hemsworth;Cailee Spaeny;Lewis Pullman;Nick Offerman;Xavier Dolan;Shea Whigham;Mark O'Brien;Charles Halford;Jim O'Heir;Gerry Nairn;Alvina August,32000000,141,
24,Aladdin ,,"Adventure; 
Family; 
Fantasy",24 May 2019,,Guy Ritchie,Naomi Scott;Mena Massoud;Will Smith;Marwan Kenzari;Billy Magnussen;Nasim Pedrad;Numan Acar;Navid Negahban;Nikkita Chadha;Kamil Lemieszewski;Bern Collaço;Joey Ansah;Adam Collins;Will Blagrove;Emily Ng,,,
25,The Grinch ,G,,9 November 2018,6.4,,Benedict Cumberbatch;Cameron Seely;Rashida Jones;Pharrell Williams;Tristan O'Hare;Kenan Thompson;Sam Lavagnino;Ramone Hamilton;Angela Lansbury;Scarlett Estevez;Michael Beattie;Lori Alan;Carter Hastings;Carlos Alazraqui;John Kassir,75000000,86,
26,National Lampoon's Christmas Vacation ,PG,Comedy,1 December 1989,7.6,Jeremiah S. Chechik,Chevy Chase;Beverly D'Angelo;Juliette Lewis;Johnny Galecki;John Randolph;Diane Ladd;E.G. Marshall;Doris Roberts;Randy Quaid;Miriam Flynn;Cody Burger;Ellen Latzen;William Hickey;Mae Questel;Sam McMurray,27000000,97,
27,The Favourite ,,,21 December 2018,8.2,Yorgos Lanthimos,Olivia Colman;Rachel Weisz;Emma Delves;Faye Daveney;Emma Stone;Paul Swaine;Jennifer White;LillyRose Stevens;Denise Mack;James Smith;Mark Gatiss;Horatio;Willem Dalby;Edward Aczel;Carolyn Saint-Pé,15000000,119,
28,Home Alone ,G,"Comedy; 
Family",16 November 1990,7.5,Chris Columbus,Macaulay Culkin;Joe Pesci;Daniel Stern;John Heard;Roberts Blossom;Catherine O'Hara;Angela Goethals;Devin Ratray;Gerry Bamman;Hillary Wolf;John Candy;Larry Hankin;Michael C. Maronna;Kristin Minter;Diana Rein,18000000,103,533800000
29,The Christmas Chronicles ,,"Adventure; 
Comedy; 
Family",22 November 2018,7.2,Clay Kaytis,Oliver Hudson;Kimberly Williams-Paisley;Jesse Gervasi;David Kohlsmith;Kaitlyn Airdrie;Jack Bona;Judah Lewis;Darby Camp;Paskal Vaklev;Abel Tekeste;Kurt Russell;Vella Lovell;Jameson Kraemer;Lauren Collins;Solla Park,,104,
30,Ralph Breaks the Internet ,G,,21 November 2018,7.4,,John C. Reilly;Sarah Silverman;Gal Gadot;Taraji P. Henson;Jack McBrayer;Jane Lynch;Alan Tudyk;Alfred Molina;Ed O'Neill;Sean Giambrone;Flula Borg;Timothy Simons;Ali Wong;Hamish Blake;GloZell Green,175000000,112,313494192
31,Mary Queen of Scots ,,,18 January 2019,6.5,Josie Rourke,Angela Bain;Richard Cant;Guy Rhys;Thom Petty;Saoirse Ronan;Izuka Hoyle;Margot Robbie;John Ramm;Simon Russell Beale;Abby Cassidy;Shalisha James-Davis;Maria Dragus;Eileen O'Higgins;Liah O'Prey;Greg Miller Burns,25000000,124,
32,The Predator ,,"Action; 
Adventure; 
Horror",14 September 2018,5.5,Shane Black,Boyd Holbrook;Trevante Rhodes;Jacob Tremblay;Keegan-Michael Key;Olivia Munn;Sterling K. Brown;Thomas Jane;Alfie Allen;Augusto Aguilera;Jake Busey;Yvonne Strahovski;Brian A. Prince;Mike Dopud;Niall Matter;Javier Lacroix,88000000,107,
33,Avengers: Infinity War ,PG,"Action; 
Adventure; 
Fantasy",27 April 2018,8.5,,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans;Scarlett Johansson;Don Cheadle;Benedict Cumberbatch;Tom Holland;Chadwick Boseman;Zoe Saldana;Karen Gillan;Tom Hiddleston;Paul Bettany;Elizabeth Olsen;Anthony Mackie,321000000,149,2048709917
