,babynysiis,perc_female,perc_male,gender
673,IGAN,0.0,100.0,M
674,AJWAN,100.0,0.0,F
675,RYSTAN,0.0,100.0,M
676,SANDAS,0.0,100.0,M
677,CHRASTAN,73.33,26.67,F
678,ATAVAN,0.0,100.0,M
679,VARNAD,71.43,28.569999999999997,F
680,TADAJ,100.0,0.0,F
681,FABRAC,0.0,100.0,M
682,ALSTAN,33.33,66.67,M
683,BARWAL,0.0,100.0,M
684,OLAY,100.0,0.0,F
685,ALPAR,0.0,100.0,M
686,DANTAFAN,0.0,100.0,M
687,JYCLAN,100.0,0.0,F
688,ZAB,28.57,71.43,M
689,SACAS,100.0,0.0,F
690,HARBAN,0.0,100.0,M
691,ETALY,100.0,0.0,F
692,CYL,80.95,19.05,F
693,ATHY,100.0,0.0,F
694,RASASAN,100.0,0.0,F
695,BALAJAC,0.0,100.0,M
696,JANDARY,100.0,0.0,F
697,SCLAR,50.0,50.0,N
698,ELDY,50.0,50.0,N
699,EVART,0.0,100.0,M
700,LADANAL,0.0,100.0,M
701,BATHLAN,100.0,0.0,F
702,MARCTAV,0.0,100.0,M
703,WARAF,100.0,0.0,F
704,LALAGRAC,100.0,0.0,F
705,MARAD,58.33,41.67,F
706,BLAS,50.0,50.0,N
707,STAFAFAN,0.0,100.0,M
708,LALACALAN,100.0,0.0,F
709,FRANSAC,50.0,50.0,N
710,TASAF,0.0,100.0,M
711,ALAXC,75.0,25.0,F
712,LAVAT,73.33,26.67,F
713,TAJY,25.0,75.0,M
714,TAJ,59.72,40.28,F
715,ANABATR,100.0,0.0,F
716,SARAV,0.0,100.0,M
717,TNAS,100.0,0.0,F
718,TAGAR,41.67,58.33,M
719,MASTAN,40.0,60.0,M
720,MCLANTAN,0.0,100.0,M
721,TARANT,0.0,100.0,M
722,JASNAR,66.67,33.33,F
723,SRAG,0.0,100.0,M
724,ZAFARY,0.0,100.0,M
725,JARDANLY,0.0,100.0,M
726,CALALAXANDAR,0.0,100.0,M
727,CRYTAN,0.0,100.0,M
728,STANALY,0.0,100.0,M
729,PRASCALAN,0.0,100.0,M
730,NAVADAT,100.0,0.0,F
731,DARLAN,83.33,16.67,F
732,SARTAC,0.0,100.0,M
733,BALAN,64.52,35.48000000000001,F
734,MCSAN,0.0,100.0,M
735,CACATAN,0.0,100.0,M
736,RANASNY,100.0,0.0,F
737,TAJSAN,0.0,100.0,M
738,LARANACAL,100.0,0.0,F
739,CLARAL,50.0,50.0,N
740,TAGY,66.67,33.33,F
741,TAVARN,0.0,100.0,M
742,OLABACAN,100.0,0.0,F
743,BALD,0.0,100.0,M
744,HANANG,0.0,100.0,M
745,MANCARATH,100.0,0.0,F
746,JACABAD,100.0,0.0,F
747,JANALAT,100.0,0.0,F
748,RANDR,0.0,100.0,M
749,ANTANAC,100.0,0.0,F
750,CATAN,63.06,36.94,F
751,MARCADY,100.0,0.0,F
752,MR,66.67,33.33,F
753,MATLY,0.0,100.0,M
754,NGANG,50.0,50.0,N
755,CARTARJAN,0.0,100.0,M
756,ALAVY,100.0,0.0,F
757,JALANANARY,100.0,0.0,F
758,JACABRAN,0.0,100.0,M
759,MACALALAN,0.0,100.0,M
760,MAFRY,100.0,0.0,F
761,YASNALY,100.0,0.0,F
762,LAXANDAR,0.0,100.0,M
763,BARCHNAN,0.0,100.0,M
764,ESGAL,0.0,100.0,M
765,DANYL,100.0,0.0,F
766,OBARAN,0.0,100.0,M
